Text,Score
"I only use raw sugar, it did seem a little smaller than the normal crystals but it is still good. Will buy again.",4
"I was looking for a natural energy shot that works, and I found it. Steaz energy shot is my favorite!<br /><br />I recently had gastric bypass surgery, so tons of sugar is a no-no. And I'm also allergic to Sucralose (Splenda) so most other energy drinks are out.<br /><br />I tried Bazi energy shots and they didn't work as well as Steaz, and definitely didn't taste as well. These have a taste that's almost like Coca-Cola--not bad at all.<br /><br />If you're looking for natural energy, give these a try.",5
These condiments are overpriced and terrible. The classic is disgustingly sweet. The spiced tastes like a bad spicy marinara sauce from a chain restaurant.,1
"I bought these for my boyfriend who really likes honey roasted pecans in salads that I have at a couple of restaurants. Plus, he likes nuts, pecans, almonds peanuts. He loved these. I actually ordered 3 cans instead of the gift tin, so he could take one to work, or his place, and stay fresh longer. Although I don't think freshness will be an issue, they won't last long......lol",4
"How to achieve potato chip nirvana? It's simple:  Buy these chips, get them tomorrow, eat them!<br />Repeat.<br /><br />Why?<br /><br />Best ""old school"" BBQ flavor out there<br />Kettle quality<br />Incredible price with Amazon<br /><br />Did I mention delicious and a terrific bargain?",5
"This is the first time I've used the coconut oil from Manila Coco Factory and I was so pleased with the taste, smell and overall incredible quality that I will buy more and recommend it to my family and friends.  I am so glad I tried it. I have been using coconut oil for several years and it has changed my life and health.  This oil ranks high in my book. Also, I liked ordering this product through amazon because they make it fast, easy and painless. Thank you for having this product on your site Amazon.",5
Who doesn't like vegetables that are portable and at a great price?  Can't beat the convenience at about 4 cents per package!,5
"I use a lot of raw cocoa for my power protein drinks.  With the high price of cocoa on the commodity market, this is an excellent price, especially for an organic product.  The cocoa is less ""tasty"" than my regular brand, but does very well for the price.  My main complaint is that the product came in a sealed plastic bag with NO label.  I would like to see an organic label, as well as, the nutrition info for the product.",4
Now let me start by saying I did not buy this tea as a diet supplement. I bought this because I tried it from a local store as I was looking for a tea that had some peppermint in it but not so much it was over-powering like a full peppermint tea. This has just the right amount of peppermint combined with a green tea. Overall it is a pleasant taste that I could drink all day.,5
"I first tried these powdered green teas from Stash last summer. This spring I wanted more, but the store I got them from didn't think the vendor would be carrying any.  I was delighted to find that I could get them from Amazon. I ordered a whole bunch and look forward to having refreshing REAL FOOD drinks all summer in an easy to make form.",5
This gum is my absolute favorite. By purchasing on amazon I can get the savings of large quanities at a very good price. I highly recommend to all gum chewers. Plus as you enjoy the peppermint flavor and freshing of breath you are whitening your teeth all at the same time.,5
I recently purchased a bread machine and I tried  this potato bread mix.  I have made it three times now and it has come out amazing each and every time.  The other great thing about this particular mix is that I have experimented with altering the amount of Butter ( in the last batch I actually doubled the butter amount but then added less water) and it came out buttery and yuuuummmmmmyyyy!!<br /><br />I encourage everyone who has a bread machine to try this particular mix.,5
I tried this milk chocolate with hazelnuts for the first time recently after reading a review that this brand was the best chocolate in the world. I had to try it and it was worth every penny. I am a dark chocolate fan normally (70% is my favorite) but I have to say I would order this again and give it as a gift. It melted like butter in my mouth and was beyond delightful.,5
"I love these hot chocolates. I think they're way better than the cafe express hot chocolates. These and the Swiss Miss hot chocolate are my favorite K-Cups. And the price of these are the best I've been able to find. My girlfriend and I have already gone through about half of them in about two weeks, and I never used to drink much hot chocolate.<br />I recommend these",5
"Sure to be a hit with chalk-a-holics everywhere, from first sip to last this product suggests its European heritage deep in the chalk mines of southern France.<br /><br />Some seem to be making a case for it only having 60 calories, but the Keurig Chai Latte only has 70, and that product actually tastes pretty good.<br /><br />I have yet to find a Keurig-compatible hot chocolate that stands up to plain old Swiss Miss, scooped from a tub or a foil packet. And Swiss Miss isn't that great to begin with, although it sure is cheaper than this stuff.<br /><br />I wonder if the size of the Keurig capsule limits the amount of cocoa and powdered milk that can be put into a cup, so what ends up there has to be strong and highly compromised.",2
